batter_name,age,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,GB,SO,GDP,BU,fly,year
김주찬,38.0,100.0,363.0,337.0,35.0,101.0,16.0,0.0,3.0,126.0,32.0,3.0,1.0,17.0,5.0,3.0,44.0,6.0,1.0,3.0,2019
최정민,23.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
최정민,26.0,8.0,15.0,13.0,1.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2015
최정민,27.0,88.0,177.0,155.0,29.0,51.0,4.0,1.0,0.0,57.0,11.0,8.0,4.0,8.0,7.0,0.0,48.0,1.0,6.0,1.0,2016
최정민,28.0,8.0,9.0,9.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2017
최정민,29.0,57.0,95.0,83.0,17.0,21.0,2.0,0.0,2.0,29.0,6.0,1.0,3.0,7.0,1.0,0.0,20.0,2.0,4.0,0.0,2018
최정민,30.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2019
유민상,26.0,15.0,45.0,38.0,5.0,10.0,1.0,0.0,1.0,14.0,6.0,1.0,0.0,5.0,1.0,0.0,9.0,1.0,0.0,1.0,2015
유민상,27.0,95.0,254.0,213.0,30.0,60.0,12.0,1.0,4.0,86.0,37.0,1.0,1.0,25.0,9.0,0.0,39.0,8.0,3.0,4.0,2016
유민상,28.0,15.0,33.0,30.0,4.0,7.0,1.0,0.0,1.0,11.0,2.0,1.0,0.0,2.0,1.0,0.0,8.0,1.0,0.0,0.0,2017
유민상,29.0,31.0,58.0,48.0,9.0,13.0,2.0,1.0,3.0,26.0,14.0,0.0,0.0,8.0,0.0,0.0,14.0,3.0,0.0,2.0,2018
유민상,30.0,61.0,202.0,175.0,23.0,51.0,15.0,0.0,5.0,81.0,26.0,0.0,0.0,23.0,4.0,0.0,35.0,6.0,0.0,0.0,2019
김석환,19.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018
